fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0005,0.9999228204761587
0.0,0.122,0.992707958048965
0.0,0.1235,0.9927055614531235
0.0,0.1355,0.9926139988193258
0.0,0.1365,0.9926126207321303
0.0,0.141,0.9925982620485512
0.0,0.143,0.9925968654433928
0.0,0.1445,0.9925966062249704
0.0,0.149,0.9925756545153988
0.0,0.151,0.9925742693274077
0.0,0.1595,0.9925560396286289
0.0,0.1605,0.9925539347549621
0.0,0.164,0.9925420806040824
0.0,0.1655,0.9925396299008172
0.0,0.1765,0.9924740289436121
0.0,0.178,0.9924723496687989
0.0,0.1805,0.9924470111394442
0.0,0.1815,0.9924457635989976
0.0,0.1875,0.9923868314716502
0.0,0.189,0.9923761086178385
0.0,0.192,0.9923514831645618
0.0,0.193,0.9923493801144723
0.0,0.2055,0.9922282205594802
0.0,0.2065,0.9922013561271869
0.0,0.21,0.9921594597669263
0.0,0.211,0.9921581398007595
0.0,0.212,0.9921553924687683
0.0,0.214,0.992150764945782
0.0,0.217,0.9920490211389343
0.0,0.219,0.9920443371955897
0.0,0.2195,0.9920345619696187
0.0,0.2215,0.9920336431433295
0.0,0.224,0.9920112062870792
0.0,0.225,0.9919994286535959
0.0,0.2265,0.9919389334550538
0.0,0.2275,0.9919337151598033
0.0,0.228,0.9919319430762806
0.0,0.2295,0.9919044499820159
0.0,0.2305,0.991883300525057
0.0,0.2315,0.9918735704846544
0.0,0.2325,0.9918665849322882
0.0,0.2335,0.991840939552585
0.0,0.2355,0.9918064041184533
0.0,0.2365,0.9917587876513081
0.0,0.2375,0.9917539281685924
0.0,0.24,0.9916720660216592
0.0,0.2415,0.9916680792620282
0.0,0.244,0.991602730178376
0.0005,0.244,0.9916004369230866
0.0005,0.2465,0.9915216223257359
0.001,0.2465,0.9915169057850549
0.001,0.339,0.9886206146173531
0.001,0.34,0.988558862961512
0.001,0.3455,0.9880903051852269
0.001,0.347,0.9880342850313837
0.001,0.353,0.9873878798533906
0.001,0.354,0.9873733535331048
0.001,0.456,0.9837440326467807
0.001,0.459,0.9837395578141809
0.001,0.4995,0.9817793083888344
0.0015,0.4995,0.9817495277047591
0.0015,0.503,0.9813625158618068
0.0015,0.5105,0.9812946490931188
0.0015,0.5195,0.9804554638258769
0.0015,0.521,0.9804224883158192
0.0015,0.624,0.9773051109291216
0.002,0.624,0.9772682578359736
0.002,0.6955,0.9672030646893789
0.003,0.6955,0.9646826961162024
0.003,0.702,0.9632187994933279
0.0035,0.702,0.9625176329139148
0.0035,0.716,0.9576053607626468
0.004,0.716,0.9571865069249923
0.004,0.7165,0.956631812287958
0.0045,0.7165,0.9561688597977978
0.0045,0.7275,0.9535696804923881
0.0045,0.7285,0.953530522230009
0.0045,0.73,0.953508517506348
0.0045,0.731,0.953498464201324
0.0045,0.7345,0.9532587480653685
0.005,0.7345,0.9532448726332007
0.005,0.736,0.953223493476115
0.0055,0.736,0.9532078276210376
