fpr,tpr,threshold
0.0,0.0,inf
5e-05,0.960425,1.0
5e-05,0.9605,0.9975
0.000175,0.974325,0.995
0.000175,0.97435,0.9908333333333332
0.0002,0.980125,0.99
0.0002,0.98015,0.9878690476190477
0.0002,0.980225,0.9875
0.0002,0.98365,0.985
0.0002,0.983675,0.9836363636363636
0.000275,0.98535,0.98
0.000275,0.9854,0.9770833333333333
0.000325,0.98715,0.975
0.00035,0.9884,0.97
0.00035,0.989775,0.965
0.00035,0.9898,0.9625
0.000375,0.990675,0.96
0.000375,0.9907,0.9583333333333333
0.000375,0.991425,0.955
0.0004,0.99205,0.95
0.000425,0.992825,0.945
0.000425,0.9929,0.9413333333333332
0.000425,0.9933,0.94
0.000425,0.9936,0.935
0.000425,0.993625,0.9320833333333333
0.000425,0.994,0.93
0.000425,0.99465,0.92
0.000425,0.994675,0.9191666666666666
0.000425,0.9949,0.915
0.000425,0.995075,0.91
0.000425,0.9954,0.905
0.000425,0.9955,0.9
0.000425,0.995525,0.8970833333333332
0.000425,0.99565,0.895
0.000425,0.9961,0.885
0.000425,0.99625,0.88
0.000425,0.9963,0.8766904761904761
0.000425,0.996375,0.8756625735375735
0.000425,0.996425,0.875
0.00045,0.996575,0.87
0.00045,0.996725,0.865
0.000475,0.9968,0.86
0.000475,0.9969,0.855
0.000475,0.99705,0.85
0.000475,0.997175,0.845
0.000475,0.9972,0.8425
0.0005,0.99725,0.84
0.0005,0.997375,0.835
0.0005,0.99745,0.83
0.0005,0.9975,0.825
0.0005,0.997575,0.82
0.0005,0.997625,0.815
0.0005,0.997675,0.81
0.000525,0.997775,0.8
0.00055,0.997775,0.795
0.00055,0.997875,0.785
0.000575,0.9979,0.78
0.000575,0.997925,0.775
0.000575,0.998125,0.77
0.000625,0.998225,0.765
0.00065,0.998225,0.76
0.00065,0.99825,0.755
0.00065,0.9983,0.75
0.0007,0.9983,0.745
0.0007,0.9984,0.735
0.0007,0.998475,0.725
0.00075,0.998475,0.7198670643082405
0.00075,0.9985,0.715
0.00075,0.9986,0.7112864834947211
0.00075,0.998675,0.71
0.000775,0.998725,0.7
0.0008,0.998725,0.695
0.0008,0.99875,0.69
0.000825,0.998775,0.685
0.000825,0.998825,0.675
0.00085,0.998875,0.67
0.000875,0.99895,0.665
0.000875,0.999,0.6454166666666667
0.0009,0.999,0.645
0.000925,0.999025,0.64
0.000925,0.99905,0.635
0.00095,0.99905,0.625
0.00095,0.9991,0.605
0.00095,0.99915,0.6
0.000975,0.999175,0.59
0.001,0.999175,0.585
0.001,0.99925,0.575
0.001,0.999275,0.57
0.001025,0.999275,0.565
0.00105,0.999325,0.555
0.00105,0.999375,0.53
0.00115,0.999375,0.52
0.00115,0.999425,0.51
0.001175,0.9995,0.505
0.001275,0.9995,0.48
0.001375,0.9995,0.47
0.0014,0.9995,0.465
0.00145,0.99955,0.4501666666666668
0.001475,0.99955,0.4475
0.00155,0.99955,0.44
0.001575,0.99955,0.435
0.001675,0.99955,0.43
0.0017,0.99955,0.425
0.0017,0.999575,0.42383333333333334
0.00175,0.999575,0.415
0.00175,0.99965,0.39
0.0018,0.99965,0.385
0.0019,0.999675,0.38
0.001975,0.999675,0.375
0.002025,0.999675,0.37
0.002075,0.999675,0.36
0.0021,0.9997,0.35
0.00215,0.9997,0.345
0.002225,0.999725,0.34
0.0023,0.999725,0.335
0.002475,0.999725,0.33
0.00255,0.99975,0.31
0.002625,0.99975,0.3
0.002675,0.99975,0.285
0.00275,0.99975,0.28
0.00285,0.99975,0.275
0.00285,0.999775,0.27349999999999997
0.002875,0.999775,0.27
0.00305,0.999775,0.265
0.0031,0.999775,0.26
0.0033,0.999775,0.25
0.003325,0.999775,0.245
0.003375,0.999775,0.24
0.00345,0.999775,0.235
0.0036,0.999775,0.225
0.003675,0.999775,0.22
0.003725,0.999775,0.215
0.0038,0.999775,0.21
0.0039,0.999775,0.205
0.003975,0.999775,0.2
0.004225,0.999775,0.19
0.0044,0.9998,0.185
0.004425,0.9998,0.18363636363636363
0.004625,0.9998,0.175
0.004675,0.9998,0.17
0.0047,0.9998,0.16833333333333333
0.004875,0.9998,0.165
0.005,0.9998,0.16
0.0054,0.9999,0.15643091939725204
0.005575,0.9999,0.155
0.00565,0.9999,0.15
0.0058,0.9999,0.145
0.005925,0.9999,0.14441434362410951
0.0061,0.9999,0.14
0.0061,0.999925,0.1375
0.006125,0.999925,0.135
0.0062,0.999925,0.13
0.006525,0.999925,0.125
0.006825,0.999925,0.12
0.00685,0.999925,0.11565616703987444
0.007125,0.999925,0.115
0.00715,0.999925,0.11408730158730158
0.007425,0.999925,0.11
0.00745,0.999925,0.10833333333333332
0.007625,0.999925,0.105
0.007925,0.999925,0.1
0.00795,0.999925,0.09805100519677205
0.008275,0.999925,0.095
0.00845,0.999925,0.09
0.00875,0.999925,0.085
0.00895,0.999925,0.08456112544168315
0.009175,0.999925,0.08
0.00955,0.999925,0.075
0.0098,0.999925,0.07
0.010225,0.999925,0.065
0.0106,0.999925,0.06
0.0106,0.999975,0.05763636363636364
0.011025,0.999975,0.055
0.012225,0.999975,0.045
0.013025,0.999975,0.04
0.013925,0.999975,0.035
0.014675,0.999975,0.03
0.016125,0.999975,0.025
0.01615,0.999975,0.022260436881126538
0.017725,0.999975,0.02
0.01775,0.999975,0.017636363636363638
0.02025,0.999975,0.015
0.0241,0.999975,0.01
0.02415,0.999975,0.00875
0.033875,0.999975,0.005
0.03395,0.999975,0.0006
1.0,1.0,0.0
